Document Name,Date,Link,Status,Arbitrators,Arbitrator Status,Case Name
Concurring and Dissenting Opinion of Professor W. Michael Reisman,,/en/document/opinion/en-pacc-offshore-services-holdings-ltd-v-united-mexican-states-concurring-and-dissenting-opinion-of-w-michael-reisman-tuesday-11th-january-2022#opinion_2809,Decided in favor of investor,"Philippe J. Sands, W. Michael Reisman, Andrés Rigo Sureda","Appointed by the State, Appointed by the investor, President","PACC Offshore Services Holdings Ltd v. United Mexican States, ICSID Case No. UNCT/18/5"
Concurring and Dissenting Opinion of Professor W. Michael Reisman,,/en/document/opinion/en-pacc-offshore-services-holdings-ltd-v-united-mexican-states-concurring-and-dissenting-opinion-of-professor-w-michael-reisman-attached-to-the-decision-on-claimants-application-for-additional-award-and-on-the-applicable-interest-rate-monday-9th-may-2022#opinion_2933,Decided in favor of investor,"Philippe J. Sands, W. Michael Reisman, Andrés Rigo Sureda","Appointed by the State, Appointed by the investor, President","PACC Offshore Services Holdings Ltd v. United Mexican States, ICSID Case No. UNCT/18/5"
Dissenting Opinion by Yawovi Agboyibo (Final Award),,/en/document/opinion/en-patrick-mitchell-v-democratic-republic-of-the-congo-dissenting-opinion-by-yawovi-agboyibo-final-award-friday-23rd-january-2004#opinion_117,Decided in favor of investor,"Yawovi Agboyibo, Marc Lalonde, Andreas Bucher","Appointed by the State, Appointed by the investor, President","Patrick Mitchell v. Democratic Republic of the Congo, ICSID Case No. ARB/99/7"
Concurring and Dissenting Opinion of Gary Born,,/en/document/opinion/en-philip-morris-brand-sarl-switzerland-philip-morris-products-s-a-switzerland-and-abal-hermanos-s-a-uruguay-v-oriental-republic-of-uruguay-concurring-and-dissenting-opinion-of-gary-born-friday-8th-july-2016#opinion_36,Decided in favor of State,"James R. Crawford, Gary B. Born, Piero Bernardini","Appointed by the State, Appointed by the investor, President","Philip Morris Brand SARL, Philip Morris Products S.A. and Abal Hermanos S.A. v. Oriental Republic of Uruguay, ICSID Case No. ARB/10/7"
Dissenting grounds,,/en/document/opinion/en-quasar-de-valores-sicav-s-a-orgor-de-valores-sicav-s-a-gbi-9000-sicav-s-a-and-alos-34-s-l-v-the-russian-federation-dissenting-opinion-monday-18th-january-2016#opinion_2508,Decided in favor of investor,"Toby Landau, Charles N. Brower, Jan Paulsson","Appointed by the State, Appointed by the investor, President","Quasar de Valores SICAV S.A., Orgor de Valores SICAV S.A., GBI 9000 SICAV S.A. and ALOS 34 S.L. v. The Russian Federation, SCC Case No. 24/2007"
Partially Dissenting Opinion of Professor Brigitte Stern,,/en/document/opinion/en-quiborax-s-a-non-metallic-minerals-s-a-v-plurinational-state-of-bolivia-partially-dissenting-opinion-monday-7th-september-2015#opinion_72,Decided in favor of investor,,,"Quiborax S.A., Non-Metallic Minerals S.A. v. Plurinational State of Bolivia, ICSID Case No. ARB/06/2"
Dissent on Liability and Quantum of Professor Philippe Sands QC,,/en/document/opinion/en-renergy-s-a-r-l-v-kingdom-of-spain-dissenting-opinion-of-phillipe-j-sands-friday-6th-may-2022#opinion_2867,Pending (Annulment),,,"RENERGY S.à r.l. v. Kingdom of Spain, ICSID Case No. ARB/14/18"
Dissenting Opinion of Robert Volterra,,/en/document/opinion/en-rreef-infrastructure-g-p-limited-and-rreef-pan-european-infrastructure-two-lux-s-a-r-l-v-kingdom-of-spain-partial-dissenting-opinion-of-robert-volterra-friday-30th-november-2018#opinion_2482,Decided in favor of investor,"Lawrence Boo Geok Seng, Enrique Barros Bourie, Bertha Cooper-Rousseau","President of the Ad Hoc Committee, Member, Member","RREEF Infrastructure (G.P.) Limited and RREEF Pan-European Infrastructure Two Lux S.à r.l. v. Kingdom of Spain, ICSID Case No. ARB/13/30"
Dissent in respect of the Second Rectification Request of Arbitrator Stuart E. Eizenstat,,/en/document/opinion/en-railroad-development-corporation-rdc-v-republic-of-guatemala-dissent-in-respect-of-the-second-rectification-request-of-arbitrator-stuart-e-eizenstat-friday-18th-january-2013#opinion_1716,Decided in favor of investor,"James R. Crawford, Stuart E. Eizenstat, Andrés Rigo Sureda","Appointed by the State, Appointed by the investor, President","Railroad Development Corporation (RDC) v. Republic of Guatemala, ICSID Case No. ARB/07/23"
Dissenting Opinion of Prof. Joaquìn Morales Godoy (Award),,/en/document/opinion/en-renee-rose-levy-de-levi-v-republic-of-peru-dissenting-opinion-of-prof-joaquin-morales-godoy-award-wednesday-26th-february-2014#opinion_29,Decided in favor of State,,,"Renée Rose Levy v. Republic of Peru, ICSID Case No. ARB/10/17"
Dissenting Opinion of Professor Bryan P. Schwartz concerning the apportionment of costs between the Disputing Parties (Final Award),,/en/document/opinion/en-s-d-myers-inc-v-government-of-canada-dissenting-opinion-of-professor-bryan-p-schwartz-concerning-the-apportionment-of-costs-between-the-disputing-parties-final-award-monday-30th-december-2002#opinion_118,Decided in favor of investor,"Edward C. Chiasson, Bryan Schwartz, J. Martin Hunter","Appointed by the State, Appointed by the investor, President","S.D. Myers, Inc. v. Government of Canada"
Dissenting Opinion by Arbitrator Pierre-Marie Dupuy,,/en/document/opinion/en-steag-gmbh-v-kingdom-of-spain-dissenting-opinion-by-arbitrator-pierre-marie-dupuy-thursday-8th-october-2020#opinion_2673,Pending (Annulment),"Eduardo Zuleta Jaramillo, Guido Santiago Tawil, Pierre-Marie Dupuy","President, Appointed by the investor, Appointed by the State","STEAG GmbH v. Kingdom of Spain, ICSID Case No. ARB/15/4"
Dissenting Opinion of Tadeusz Szurski,,/en/document/opinion/en-saar-papier-vertriebs-gmbh-v-republic-of-poland-i-dissenting-opinion-of-dr-habil-tadeusz-szurski-interim-award-on-jurisdiction-wednesday-17th-august-1994#opinion_121,Decided in favor of investor,,,Saar Papier Vertriebs GmbH v. Republic of Poland (I)
Dissenting Opinion of Tadeusz Szurski,,/en/document/opinion/en-saar-papier-vertriebs-gmbh-v-republic-of-poland-i-dissenting-opinion-of-dr-habil-tadeusz-szurski-final-award-monday-16th-october-1995#opinion_122,Decided in favor of investor,,,Saar Papier Vertriebs GmbH v. Republic of Poland (I)
Concurring and Dissenting Opinion of Charles N. Brower,,/en/document/opinion/en-saint-gobain-performance-plastics-europe-v-bolivarian-republic-of-venezuela-concurring-and-dissenting-opinion-of-charles-n-brower-friday-30th-december-2016#opinion_15,Decided in favor of investor,"Klaus M. Sachs, Gabriel Bottini, Charles N. Brower","President, Appointed by the State, Appointed by the investor","Saint-Gobain Performance Plastics Europe v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/13"
Partial Dissenting Opinion of Mr. Marc Lalonde (Award),,/en/document/opinion/en-sempra-energy-international-v-argentine-republic-partial-dissenting-opinion-of-mr-marc-lalonde-award-tuesday-18th-september-2007#opinion_107,Decided in favor of investor,"Sandra Morelli Rico, Marc Lalonde, Francisco Orrego Vicuña","Appointed by the State, Appointed by the investor, President","Sempra Energy International v. Argentine Republic, ICSID Case No. ARB/02/16"
Dissenting Opinion of the arbitrator R. Oreamuno Blanco on one aspect of the basis for the decision (Decision on Jurisdiction),,/en/document/opinion/en-serafin-garcia-armas-and-karina-garcia-gruber-v-the-bolivarian-republic-of-venezuela-dissenting-opinion-of-the-arbitrator-r-oreamuno-blanco-on-one-aspect-of-the-basis-for-the-decision-decision-on-jurisdiction-monday-15th-december-2014#opinion_11,Decided in favor of investor,,,"Serafín García Armas and Karina García Gruber v. The Bolivarian Republic of Venezuela, PCA Case No. 2013-03"
Dissenting Opinion of Professor Thomas Clay,,/en/document/opinion/en-sergei-viktorovich-pugachev-v-the-russian-federation-dissenting-opinion-by-arbitrator-thomas-clay-monday-22nd-june-2020#opinion_2641,Decided in favor of State,,,Sergei Viktorovich Pugachev v. The Russian Federation
Dissenting Opinion of Judge O. Thomas Johnson,,/en/document/opinion/en-silver-ridge-power-bv-v-italian-republic-dissenting-opinion-by-arbitrator-o-thomas-johnson-friday-26th-february-2021#opinion_2735,Decided in favor of State,,,"Silver Ridge Power BV v. Italian Republic, ICSID Case No. ARB/15/37"
Dissenting Opinion of Mrs. Susana Czar de Zalduendo (Award),,/en/document/opinion/en-sociedad-anonima-eduardo-vieira-v-republic-of-chile-dissenting-opinion-of-mrs-susana-czar-de-zalduendo-award-tuesday-21st-august-2007#opinion_97,Decided in favor of State,"W. Michael Reisman, Susana B. Czar de Zalduendo, Claus von Wobeser","Appointed by the State, Appointed by the investor, President","Sociedad Anónima Eduardo Vieira v. Republic of Chile, ICSID Case No. ARB/04/7"
Dissenting Opinion of Mr. Osvaldo Cesar Guglielmino,,/en/document/opinion/en-south-american-silver-limited-bermuda-v-the-plurinational-state-of-bolivia-dissenting-opinion-of-osvaldo-cesar-guglielmino-thursday-30th-august-2018#opinion_2214,Decided in favor of investor,,,"South American Silver Limited v. The Plurinational State of Bolivia, PCA Case No. 2013-15"
Partial Dissenting Opinion of Professor Robert G. Volterra,,/en/document/opinion/en-spoldzielnia-pracy-muszynianka-v-slovak-republic-dissenting-opinion-by-robert-volterra-on-quantum-wednesday-7th-october-2020#opinion_2671,Decided in favor of neither Party,,,"Spółdzielnia Pracy Muszynianka v. Slovak Republic, PCA Case No. 2017-08/AA629"
Dissenting Opinion by Professor Kaj Hobér,,/en/document/opinion/en-stadtwerke-munchen-gmbh-and-others-v-kingdom-of-spain-dissenting-opinion-by-arbitrator-horacio-a-grigera-naon-monday-2nd-december-2019#opinion_2575,Decided in favor of State,,,"Stadtwerke München GmbH and others v. Kingdom of Spain, ICSID Case No. ARB/15/1"
Partial Dissenting Opinion by Arbitrator Nassib G. Ziadé,,/en/document/opinion/en-strabag-se-v-libya-partial-dissenting-opinion-by-arbitrator-nassib-g-ziade-monday-29th-june-2020#opinion_2643,Decided in favor of investor,,,"Strabag SE v. Libya, ICSID Case No. ARB(AF)/15/1"
Dissenting Opinion of Joseph P. Klock,,/en/document/opinion/en-supervision-y-control-s-a-v-republic-of-costa-rica-dissenting-opinion-of-joseph-p-klock-wednesday-18th-january-2017#opinion_16,Decided in favor of State,,,"Supervision y Control S.A. v. Republic of Costa Rica, ICSID Case No. ARB/12/4"
Dissenting Opinion of Gladys Chacón Corado,,/en/document/opinion/en-teco-guatemala-holdings-llc-v-republic-of-guatemala-dissenting-opinion-of-gladys-chacon-corado-wednesday-18th-november-2009#opinion_2524,Decided in favor of investor,"Rodrigo Oreamuno, Claus von Wobeser, William W. Park, Alexis Mourre","Appointed by the State (resigned), Appointed by the State, Appointed by the investor, President","TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23"
Dissenting Opinion of Mario Pérez Guerra,,/en/document/opinion/en-teco-guatemala-holdings-llc-v-republic-of-guatemala-dissenting-opinion-of-mario-perez-guerra-wednesday-18th-november-2009#opinion_2523,Decided in favor of investor,"Rodrigo Oreamuno, Claus von Wobeser, William W. Park, Alexis Mourre","Appointed by the State (resigned), Appointed by the State, Appointed by the investor, President","TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23"
Dissenting Opinion of Arbitrator Grant D. Aldonas (Award),,/en/document/opinion/en-tsa-spectrum-de-argentina-s-a-v-argentine-republic-dissenting-opinion-of-arbitrator-grant-d-aldonas-award-friday-19th-december-2008#opinion_84,Decided in favor of State,,,"TSA Spectrum de Argentina S.A. v. Argentine Republic, ICSID Case No. ARB/05/5"
Dissenting Opinion of Dr. Kamal Hossain,,/en/document/opinion/en-teinver-s-a-transportes-de-cercanias-s-a-and-autobuses-urbanos-del-sur-s-a-v-argentine-republic-dissenting-opinion-of-dr-kamal-hossain-friday-8th-april-2016#opinion_276,Decided in favor of investor,,,"Teinver S.A., Transportes de Cercanías S.A. and Autobuses Urbanos del Sur S.A. v. Argentine Republic, ICSID Case No. ARB/09/1"
Dissenting Opinion of Kamal Hossain,,/en/document/opinion/en-teinver-s-a-transportes-de-cercanias-s-a-and-autobuses-urbanos-del-sur-s-a-v-argentine-republic-dissenting-opinion-of-kamal-hossain-thursday-13th-july-2017#opinion_40,Decided in favor of investor,,,"Teinver S.A., Transportes de Cercanías S.A. and Autobuses Urbanos del Sur S.A. v. Argentine Republic, ICSID Case No. ARB/09/1"
Dissenting Opinion of Arbitrator Alexandrov,,/en/document/opinion/en-thomas-gosling-and-others-v-republic-of-mauritius-dissenting-opinion-of-stanimir-a-alexandrov-tuesday-18th-february-2020#opinion_2595,Decided in favor of State,,,"Thomas Gosling and others v. Republic of Mauritius, ICSID Case No. ARB/16/32"
Award including Dissenting Opinions of Mr. Henri Álvarez and Mr. Luis Herrera Marcano - 27 Nov 2013,27 November 2013,/en/document/decision/en-total-s-a-v-argentine-republic-award-including-dissenting-opinions-of-mr-henri-alvarez-and-mr-luis-herrera-marcano-wednesday-27th-november-2013#decision_640,Decided in favor of investor,"Luis Herrera Marcano, Henri C. Álvarez, Giorgio Sacerdoti","Appointed by the State, Appointed by the investor, President","Total S.A. v. Argentine Republic, ICSID Case No. ARB/04/1"
Dissenting Opinion of Henri Álvarez (Decision on Liability),,/en/document/opinion/en-total-s-a-v-argentine-republic-dissenting-opinion-of-henri-alvarez-decision-on-liability-monday-27th-december-2010#opinion_93,Decided in favor of investor,"Luis Herrera Marcano, Henri C. Álvarez, Giorgio Sacerdoti","Appointed by the State, Appointed by the investor, President","Total S.A. v. Argentine Republic, ICSID Case No. ARB/04/1"
Dissenting Opinion on Costs of August Reinisch,,/en/document/opinion/en-uab-e-energija-lithuania-v-republic-of-latvia-dissenting-opinion-on-costs-of-august-reinisch-friday-22nd-december-2017#opinion_273,Decided in favor of investor,"Geneviève Bastid Burdeau, Andrés Rigo Sureda, Loretta Malintoppi, Makhdoom Ali Khan","Member, Member, President of the Ad Hoc Committee, Member (resigned)","UAB E energija v. Republic of Latvia, ICSID Case No. ARB/12/33"
"Dissent of Sir David A.R. Williams KNZM, QC.",,/en/document/opinion/en-united-utilities-tallinn-b-v-and-aktsiaselts-tallinna-vesi-v-republic-of-estonia-dissent-of-sir-david-a-r-williams-knzm-qc-friday-21st-june-2019#opinion_2537,Decided in favor of State,,,"United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi v. Republic of Estonia, ICSID Case No. ARB/14/24"
Dissenting Opinion of Arbitrator Mark Clodfelter,,/en/document/opinion/en-union-fenosa-gas-s-a-v-arab-republic-of-egypt-dissenting-opinion-of-mark-clodfelter-friday-31st-august-2018#opinion_1977,Decided in favor of investor,,,"Unión Fenosa Gas, S.A. v. Arab Republic of Egypt, ICSID Case No. ARB/14/4"
Partial Dissenting Opinion of Professor Francisco Orrego Vicuña,,/en/document/opinion/en-vincent-j-ryan-schooner-capital-llc-and-atlantic-investment-partners-llc-v-republic-of-poland-partial-dissenting-opinion-of-francisco-orrego-vicuna-saturday-7th-november-2015#opinion_27,Decided in favor of State,,,"Vincent J. Ryan, Schooner Capital LLC, and Atlantic Investment Partners LLC v. Republic of Poland, ICSID Case No. ARB(AF)/11/3"
Dissenting Opinion of Professor Francisco Orrego Vicuña (Award),,/en/document/opinion/en-waguih-elie-george-siag-and-clorinda-vecchi-v-arab-republic-of-egypt-dissenting-opinion-of-professor-francisco-orrego-vicuna-award-monday-11th-may-2009#opinion_83,Decided in favor of investor,"Francisco Orrego Vicuña, Michael C. Pryles, David A.R. Williams","Appointed by the State, Appointed by the investor, President","Waguih Elie George Siag and Clorinda Vecchi v. Arab Republic of Egypt, ICSID Case No. ARB/05/15"
Partial Dissenting Opinion of Professor Francisco Orrego Vicuña (Decision on Jurisdiction),,/en/document/opinion/en-waguih-elie-george-siag-and-clorinda-vecchi-v-arab-republic-of-egypt-partial-dissenting-opinion-of-professor-francisco-orrego-vicuna-decision-on-jurisdiction-wednesday-11th-april-2007#opinion_82,Decided in favor of investor,"Francisco Orrego Vicuña, Michael C. Pryles, David A.R. Williams","Appointed by the State, Appointed by the investor, President","Waguih Elie George Siag and Clorinda Vecchi v. Arab Republic of Egypt, ICSID Case No. ARB/05/15"
Dissenting Opinion of Keith Highet (Arbitral Award),,/en/document/opinion/en-waste-management-inc-v-united-mexican-states-i-dissenting-opinion-of-keith-highet-arbitral-award-monday-8th-may-2000#opinion_119,Decided in favor of State,,,"Waste Management, Inc. v. United Mexican States (I), ICSID Case No. ARB(AF)/98/2"
Dissent on Liability and Quantum of Prof. Dr. Hélène Ruiz Fabri,,/en/document/opinion/en-watkins-holdings-s-a-r-l-and-others-v-kingdom-of-spain-dissent-on-liability-and-quantum-of-prof-dr-helene-ruiz-fabri-tuesday-21st-january-2020#opinion_2587,Decided in favor of investor,,,"Watkins Holdings S.à r.l. and others v. Kingdom of Spain, ICSID Case No. ARB/15/44"
Dissenting opinion by Professor Donald McRae,,/en/document/opinion/en-clayton-and-bilcon-of-delaware-inc-v-government-of-canada-dissenting-opinion-by-professor-donald-mcrae-tuesday-10th-march-2015#opinion_47,Pending,"Bruno Simma, Bryan Schwartz, Donald M. McRae","President, Appointed by the investor, Appointed by the State","William Ralph Clayton, William Douglas Clayton, Daniel Clayton and Bilcon of Delaware, Inc. v. Government of Canada, PCA Case No. 2009-04"
Dissenting Opinion of J. William Rowley QC,,/en/document/opinion/en-yukos-capital-sarl-v-the-russian-federation-dissenting-opinion-of-j-william-rowley-qc-friday-23rd-july-2021#opinion_2849,Decided in favor of investor,"Brigitte Stern, J. William F. Rowley, Alan Campbell McLachlan","Appointed by the State, Appointed by the investor, President","Yukos Capital SARL v. The Russian Federation, PCA Case No. 2013-31"
Dissenting Opinion of Professor Brigitte Stern,,/en/document/opinion/en-yukos-capital-sarl-v-the-russian-federation-dissenting-opinion-of-professor-brigitte-stern-friday-23rd-july-2021#opinion_2850,Decided in favor of investor,"Brigitte Stern, J. William F. Rowley, Alan Campbell McLachlan","Appointed by the State, Appointed by the investor, President","Yukos Capital SARL v. The Russian Federation, PCA Case No. 2013-31"
Dissenting Opinion of Professor Brigitte Stern,,/en/document/opinion/en-yukos-capital-sarl-v-the-russian-federation-dissenting-opinion-of-professor-brigitte-stern-wednesday-18th-january-2017#opinion_2775,Decided in favor of investor,"Brigitte Stern, J. William F. Rowley, Alan Campbell McLachlan","Appointed by the State, Appointed by the investor, President","Yukos Capital SARL v. The Russian Federation, PCA Case No. 2013-31"
Dissenting Opinion of Tolga Ayoglu,,/en/document/opinion/en-oztas-construction-construction-materials-trading-inc-v-state-of-libya-dissenting-opinion-of-tolga-ayoglu-thursday-14th-june-2018#opinion_2622,Decided in favor of State,,,"Öztaş Construction, Construction Materials Trading Inc. v. State of Libya, ICC Case No. 21603/ZF/AYZ"
Partially Dissenting Opinion of Professor Philippe Sands,,/en/document/opinion/en-ickale-insaat-limited-sirketi-v-turkmenistan-partially-dissenting-opinion-of-philippe-sands-tuesday-8th-march-2016#opinion_33,Decided in favor of State,,,"İçkale İnşaat Limited Şirketi v. Turkmenistan, ICSID Case No. ARB/10/24"
Partially Dissenting Opinion of Carolyn B. Lamm,,/en/document/opinion/en-ickale-insaat-limited-sirketi-v-turkmenistan-partially-dissenting-opinion-of-carolyn-b-lamm-tuesday-8th-march-2016#opinion_34,Decided in favor of State,,,"İçkale İnşaat Limited Şirketi v. Turkmenistan, ICSID Case No. ARB/10/24"
